Date,Product,Quantity,Returned,Sales Amount,Customer Name
2025-01-01,Highlighter,68,6,1550,Fiona Lee
2025-01-02,Desk Organizer,183,9,2436,Hannah Scott
2025-01-03,Desk Organizer,136,8,2944,Fiona Lee
2025-01-04,Highlighter,44,2,1008,Hannah Scott
2025-01-05,Laptop Stand,123,10,2373,Fiona Lee
2025-01-06,Mouse Pad,187,4,1830,Hannah Scott
2025-01-07,Highlighter,194,6,3008,Hannah Scott
2025-01-08,Mouse Pad,200,0,3800,Charlie Davis
2025-01-09,Highlighter,12,0,72,Hannah Scott
2025-01-10,Stapler,10,0,110,Hannah Scott
2025-01-11,Printer Paper,200,6,3104,Edward Johnson
2025-01-12,Notebook,133,7,2646,Diana Green
2025-01-13,Desk Organizer,30,0,660,Diana Green
2025-01-14,Highlighter,120,11,981,Edward Johnson
2025-01-15,Highlighter,147,14,1995,Charlie Davis
2025-01-16,Notebook,63,5,580,Charlie Davis
2025-01-17,Notebook,120,4,1276,Diana Green
2025-01-18,Mouse Pad,18,1,238,Bob Smith
2025-01-19,Wireless Mouse,113,0,2034,Fiona Lee
2025-01-20,Wireless Mouse,89,1,1848,Edward Johnson
